fork,1.086158,1.130154,0.000022,0.000401
fork,0.972841,0.894599,0.127137,0.110476
fork,1.076786,1.111126,0.001374,0.000384
fork,1.046104,1.042473,0.024723,0.018089
fork,1.097159,1.148859,0.072929,0.059580
pen,1.027134,1.025615,0.018804,0.016621
pen,1.079686,1.134988,0.013669,0.012204
pen,0.996542,0.964401,0.005977,0.005259
pen,1.004156,0.979447,0.014361,0.012937
pen,1.043290,1.059751,0.007250,0.006186
box,0.353450,0.096805,0.000011,0.000005
box,0.346353,0.092118,0.000057,0.000025
box,0.350782,0.094857,0.000287,0.000166
box,0.340199,0.087868,0.000001,0.000000
box,0.349539,0.094143,0.000025,0.000014
mouse,0.183715,0.006717,0.000112,0.000028
mouse,0.179021,0.006055,0.000007,0.000000
mouse,0.180238,0.006575,0.000016,0.000001
mouse,0.183337,0.007512,0.000029,0.000001
trimmer,0.442540,0.164066,0.005067,0.001716
trimmer,0.405943,0.133368,0.006183,0.002762
trimmer,0.430191,0.153685,0.004957,0.001836
trimmer,0.435101,0.157440,0.004928,0.001432
comb,0.525820,0.232129,0.000062,0.000019
comb,0.600177,0.306125,0.000312,0.000520
comb,0.520429,0.226906,0.000800,0.000260
comb,0.523114,0.227084,0.002206,0.003161
comb,0.514822,0.222187,0.002791,0.003299
cap,0.159215,0.000003,0.000007,0.000000
cap,0.159409,0.000016,0.000008,0.000000
cap,0.160521,0.000010,0.000008,0.000004
cap,0.160028,0.000094,0.000006,0.000000
avacado,0.171717,0.003824,0.000085,0.000005
avacado,0.168761,0.002869,0.000057,0.000004
avacado,0.175989,0.005304,0.000098,0.000005
avacado,0.173507,0.003249,0.000290,0.000108
avacado,0.172635,0.004203,0.000080,0.000005
cup,0.321927,0.060965,0.012593,0.005701
cup,0.326919,0.066234,0.012030,0.005830
cup,0.319406,0.061781,0.011900,0.005701
cup,0.313691,0.056075,0.012561,0.005491
cup,0.326856,0.061862,0.012976,0.005788
spoon,0.809506,0.605856,0.002919,0.003087
spoon,0.777268,0.553390,0.000806,0.001120
spoon,0.749201,0.511089,0.000241,0.000039
spoon,0.799782,0.589725,0.002408,0.002567
spoon,0.807815,0.599613,0.000559,0.000173
allenkey,1.209253,1.198976,0.356824,0.082127
allenkey,1.291508,1.317042,0.587952,0.169352
allenkey,1.335332,1.597537,0.199465,0.042554
allenkey,1.252314,1.334220,0.243121,0.042460
allenkey,1.392252,1.602978,0.460499,0.103044
